Analytisches,Denken,und,Handeln,sowie,eine,selbständige,Arbeitsweise,Analytical,thinking,and,action,as,well,as,an,independent,working,style.,,,,,,,,,,,,
Sehr,gute,Deutsch-,und,Englischkenntnisse,in,Wort,und,Schrift,"Very good German and English language skills, both spoken and written.",,,,,,,,,,,,,,,,,,,,,
Benefits:,Benefits:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gehalt,bis,zu,90.000€,p/A,(je,nach,Erfahrung,und,Techstack),"Salary up to €90,000 p/a (depending on experience and tech stack).",,,,,,,,,,,,,,,,,,,,
Flexible,Arbeitszeiten,(bis,zu,3,Tage,Homeoffice),Flexible,working,hours,(up,to,3,days,of,home,office).,,,,,,,,,,,,,,
Firmen,Events,Company,events.,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sportförderung,Sports,promotion.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prämien,für,zusätzliches,Engagement,Bonuses,for,additional,commitment.,,,,,,,,,,,,,,,,,,,,,,,
Hemden,und,Blusenreinigung,Shirt,and,blouse,cleaning.,,,,,,,,,,,,,,,,,,,,,,,,
30,Tage,Urlaub,30,days,of,vacation.,,,,,,,,,,,,,,,,,,,,,,,,
"umfangreiches Trainingsangebot und ein transparentes Laufbahnstufenmodell für alle sorgen dafür, dass deine Entwicklung bei uns nicht stillsteht",Extensive,training,opportunities,and,a,transparent,career,level,model,for,all,ensure,that,your,development,with,us,does,not,stagnate.,,,,,,,,,,
"Platz beim Wettbewerb „Deutschlands Beste Arbeitgeber in der ITK\"",""Place in the competition 'Germany's Best Employers in ITC.'",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kontakt:,Contact:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dann,bewirb,dich,bitte,mit,deinem,vollständigen,Lebenslauf,sowie,arbeits-,und,berufsrelevanten,Zeugnissen,zu,Händen,an,Andreas,Steck,per,E-Mail,an,a.steck(at)computerfutures.de.,Bei,Fragen,erreichst,du,mich,unter,69,13385111,"Please apply with your complete resume and work and professional certificates to Andreas Steck by email at a.steck(at)computerfutures.de. If you have any questions, you can reach me at 069 13385111."
Ich,freue,mich,auf,deine,Bewerbung!,I,look,forward,to,your,application!,,,,,,,,,,,,,,,,,,,
Desired,Skills,and,Experience,Desired,Skills,and,Experience,,,,,,,,,,,,,,,,,,,,,,,
"Javascript, Angular, Nodejs, JQuery, Frontend-Architekturen, Deutsch C1","Javascript, Angular, Nodejs, JQuery, Frontend Architectures, German C1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Die,Personalberatung,SThree,betreut,die,ausgeschriebene,Stelle,im,Auftrag,ihres,Kunden.,The,recruitment,consultancy,SThree,manages,the,advertised,position,on,behalf,of,its,client.,,,,,,,
"Gern geschehen! Wenn du noch weitere Fragen hast oder Hilfe benötigst, lass es mich wissen. Viel Erfolg mit deiner Bewerbung!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
